id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr,home_last_point_diff,away_last_point_diff,game_date,homeTeamRank,awayTeamRank,isRankedMatchup,capacity
401752775,2025,13,regular,2025-11-23 00:30:00+00:00,False,False,False,True,,3634.0,Ben Hill Griffin Stadium,57,Florida Gators,fbs,SEC,,,,1565.0,,2633,Tennessee Volunteers,fbs,SEC,,,,1834.0,,,,,2025-11-22,Saturday,2025-11-22 19:30:00-05:00,-10.0,-3.0,2025-11-22,,25.0,False,88548.0
401752915,2025,13,regular,2025-11-23 00:30:00+00:00,False,False,False,True,,347.0,Camp Randall Stadium,275,Wisconsin Badgers,fbs,Big Ten,,,,1467.0,,356,Illinois Fighting Illini,fbs,Big Ten,,,,1630.0,,,,,2025-11-22,Saturday,2025-11-22 19:30:00-05:00,-24.0,38.0,2025-11-22,,,False,76057
401752777,2025,13,regular,2025-11-23 00:45:00+00:00,False,False,False,False,,3958.0,Tiger Stadium (LA),99,LSU Tigers,fbs,SEC,,,,1693.0,,98,Western Kentucky Hilltoppers,fbs,Conference USA,,,,1398.0,,,,,2025-11-22,Saturday,2025-11-22 19:45:00-05:00,10.0,-24.0,2025-11-22,,,False,102321.0
401756955,2025,13,regular,2025-11-23 01:00:00+00:00,False,False,False,True,,3854.0,Nippert Stadium,2132,Cincinnati Bearcats,fbs,Big 12,,,,1578.0,,252,BYU Cougars,fbs,Big 12,,,,1772.0,,,,,2025-11-22,Saturday,2025-11-22 20:00:00-05:00,14.0,24.0,2025-11-22,,7.0,False,38088
401756956,2025,13,regular,2025-11-23 01:00:00+00:00,False,False,False,True,,3726.0,Folsom Field,38,Colorado Buffaloes,fbs,Big 12,,,,1377.0,,9,Arizona State Sun Devils,fbs,Big 12,,,,1614.0,,,,,2025-11-22,Saturday,2025-11-22 20:00:00-05:00,-16.0,19.0,2025-11-22,,,False,50183
401760420,2025,13,regular,2025-11-23 03:30:00+00:00,False,False,False,True,,7311.0,Snapdragon Stadium,21,San Diego State Aztecs,fbs,Mountain West,,,,1507.0,,23,San Jose State Spartans,fbs,Mountain West,,,,1208.0,,,,,2025-11-22,Saturday,2025-11-22 22:30:00-05:00,-23.0,-31.0,2025-11-22,,,False,35000
401752910,2025,13,regular,2025-11-23 03:30:00+00:00,False,False,False,True,,1056.0,Rose Bowl,26,UCLA Bruins,fbs,Big Ten,,,,1361.0,,264,Washington Huskies,fbs,Big Ten,,,,1754.0,,,,,2025-11-22,Saturday,2025-11-22 22:30:00-05:00,-25.0,17.0,2025-11-22,,23.0,False,89702.0
401760417,2025,13,regular,2025-11-23 03:30:00+00:00,False,False,False,True,,3660.0,Valley Children's Stadium,278,Fresno State Bulldogs,fbs,Mountain West,,,,1510.0,,328,Utah State Aggies,fbs,Mountain West,,,,1423.0,,,,,2025-11-22,Saturday,2025-11-22 22:30:00-05:00,9.0,19.0,2025-11-22,,,False,41031
401762868,2025,14,regular,2025-11-25 21:30:00+00:00,False,False,False,True,,3985.0,Warren McGuirk Alumni Stadium,113,UMass Minutemen,fbs,Mid-American,,,,712.0,,189,Bowling Green State Falcons,fbs,Mid-American,,,,1232.0,,,,,2025-11-25,Tuesday,2025-11-25 16:30:00-05:00,-40.0,10.0,2025-11-25,,,False,17000
401762869,2025,14,regular,2025-11-26 00:30:00+00:00,False,False,False,True,,3912.0,Rynearson Stadium,2199,Eastern Michigan Eagles,fbs,Mid-American,,,,1246.0,,2711,Western Michigan Broncos,fbs,Mid-American,,,,1415.0,,,,,2025-11-25,Tuesday,2025-11-25 19:30:00-05:00,-25.0,-38.0,2025-11-25,,,False,30200
