id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr,home_last_point_diff,away_last_point_diff
401762793,2025,1,regular,2025-08-30 19:30:00+00:00,False,True,False,False,,3764,Huskie Stadium,2459,Northern Illinois,fbs,Mid-American,19,"[3, 3, 0, 13]",0.8463576436042786,1470.0,1470.0,107,Holy Cross,fcs,Patriot,17,"[0, 3, 0, 14]",0.15364235639572144,,,6.2914887592355555,,,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,,
401760359,2025,1,regular,2025-08-30 19:30:00+00:00,False,True,False,False,,3713,Falcon Stadium,2005,Air Force,fbs,Mountain West,49,"[14, 14, 14, 7]",0.9948325753211975,1438.0,1438.0,2083,Bucknell,fcs,Patriot,13,"[0, 7, 3, 3]",0.00516742467880249,,,3.441692868709148,,,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,,
401756853,2025,1,regular,2025-08-30 19:30:00+00:00,False,True,False,False,,3772,Jack Trice Stadium,66,Iowa State,fbs,Big 12,55,"[14, 13, 14, 14]",0.9931229948997498,1621.0,1621.0,233,South Dakota,fcs,MVFC,7,"[7, 0, 0, 0]",0.006877005100250244,,,3.3546079527757073,,,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,,
401752665,2025,1,regular,2025-08-30 19:30:00+00:00,False,True,False,False,,3697,Doak Campbell Stadium,52,Florida State,fbs,ACC,31,"[7, 10, 7, 7]",0.9667693972587585,1408.0,1477.0,333,Alabama,fbs,SEC,17,"[7, 0, 3, 7]",0.033230602741241455,1824.0,1755.0,4.8906927608722865,,,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,,
401762456,2025,1,regular,2025-08-30 19:30:00+00:00,False,True,False,False,,3985,Warren McGuirk Alumni Stadium,113,Massachusetts,fbs,Mid-American,10,"[10, 0, 0, 0]",0.015759259462356567,1193.0,1101.0,218,Temple,fbs,American Athletic,42,"[7, 21, 0, 14]",0.9842407405376434,1192.0,1284.0,3.8483313691960914,,,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,,
401752807,2025,1,regular,2025-08-30 19:30:00+00:00,False,True,False,False,,3632,Beaver Stadium,213,Penn State,fbs,Big Ten,46,"[10, 17, 12, 7]",0.9887898564338684,2063.0,2073.0,2440,Nevada,fbs,Mountain West,11,"[0, 3, 0, 8]",0.011210143566131592,1294.0,1284.0,3.706021586002457,,,2025-08-30 15:30:00-04:00,Saturday,3:30 PM,,
401757220,2025,1,regular,2025-08-30 20:00:00+00:00,False,True,False,False,,3992,Williams Stadium (VA),2335,Liberty,fbs,Conference USA,28,"[0, 7, 0, 21]",0.9477583765983582,1502.0,1502.0,311,Maine,fcs,CAA,7,"[0, 7, 0, 0]",0.052241623401641846,,,5.501209893183468,,,2025-08-30 16:00:00-04:00,Saturday,4:00 PM,,
401752804,2025,1,regular,2025-08-30 20:00:00+00:00,False,True,False,False,,3626,Autzen Stadium,2483,Oregon,fbs,Big Ten,59,"[17, 21, 14, 7]",0.9936597943305969,1860.0,1860.0,147,Montana State,fcs,Big Sky,13,"[0, 3, 3, 7]",0.006340205669403076,,,2.8004427689666893,,,2025-08-30 16:00:00-04:00,Saturday,4:00 PM,,
401752666,2025,1,regular,2025-08-30 20:15:00+00:00,False,True,False,False,,3887,Razorback Stadium,8,Arkansas,fbs,SEC,52,"[10, 21, 14, 7]",0.954650342464447,1574.0,1574.0,2010,Alabama A&M,fcs,SWAC,7,"[7, 0, 0, 0]",0.04534965753555298,,,3.687395892523427,,,2025-08-30 16:15:00-04:00,Saturday,4:15 PM,,
401762433,2025,1,regular,2025-08-30 20:30:00+00:00,False,True,False,False,,3805,Simmons Bank Liberty Stadium,235,Memphis,fbs,American Athletic,45,"[14, 14, 10, 7]",0.9934501051902771,1604.0,1604.0,236,Chattanooga,fcs,Southern,10,"[0, 3, 0, 7]",0.0065498948097229,,,2.82049571942945,,,2025-08-30 16:30:00-04:00,Saturday,4:30 PM,,
401752799,2025,1,regular,2025-08-30 22:00:00+00:00,False,True,False,False,,3793,Kinnick Stadium,2294,Iowa,fbs,Big Ten,34,"[3, 14, 7, 10]",0.9937663078308105,1682.0,1682.0,399,UAlbany,fcs,CAA,7,"[0, 7, 0, 0]",0.006233692169189453,,,3.706247041004862,,,2025-08-30 18:00:00-04:00,Saturday,6:00 PM,,
401752675,2025,1,regular,2025-08-30 22:00:00+00:00,False,True,False,False,,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,SEC,35,"[7, 14, 0, 14]",0.9924291968345642,1650.0,1650.0,2287,Illinois State,fcs,MVFC,3,"[0, 0, 3, 0]",0.007570803165435791,,,2.9983928062016716,,,2025-08-30 18:00:00-04:00,Saturday,6:00 PM,,
401761590,2025,1,regular,2025-08-30 22:00:00+00:00,False,True,False,False,,3651,Bridgeforth Stadium,256,James Madison,fbs,Sun Belt,45,"[14, 14, 3, 14]",0.9937936067581177,1627.0,1627.0,2692,Weber State,fcs,Big Sky,10,"[0, 7, 3, 0]",0.006206393241882324,,,2.7608139230966167,,,2025-08-30 18:00:00-04:00,Saturday,6:00 PM,,
401754616,2025,1,regular,2025-08-30 22:00:00+00:00,False,True,False,False,,3923,Scott Stadium,258,Virginia,fbs,ACC,48,"[7, 21, 14, 6]",0.9922709465026855,1404.0,1521.0,324,Coastal Carolina,fbs,Sun Belt,7,"[0, 0, 7, 0]",0.007729053497314453,1379.0,1262.0,3.3129902798197115,,,2025-08-30 18:00:00-04:00,Saturday,6:00 PM,,
401761593,2025,1,regular,2025-08-30 23:00:00+00:00,False,True,False,False,,6526,Hancock Whitney Stadium,6,South Alabama,fbs,Sun Belt,38,"[7, 10, 7, 14]",0.9913713335990906,1555.0,1555.0,2415,Morgan State,fcs,MEAC,21,"[7, 0, 7, 7]",0.008628666400909424,,,5.2016841453645455,,,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,,
401752678,2025,1,regular,2025-08-30 23:00:00+00:00,False,True,False,False,,3795,Kyle Field,245,Texas A&M,fbs,SEC,42,"[7, 14, 14, 7]",1.0,1674.0,1700.0,2636,UTSA,fbs,American Athletic,24,"[3, 7, 7, 7]",0.0,1529.0,1503.0,5.030838796225625,,,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,,
401761591,2025,1,regular,2025-08-30 23:00:00+00:00,False,True,False,False,,3625,Centennial Bank Stadium,2032,Arkansas State,fbs,Sun Belt,42,"[7, 21, 7, 7]",0.9935866594314575,1344.0,1344.0,2546,Southeast Missouri State,fcs,Big South-OVC,24,"[7, 3, 0, 14]",0.0064133405685424805,,,5.924281246577312,,,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,,
401761595,2025,1,regular,2025-08-30 23:00:00+00:00,False,True,False,False,,3975,Veterans Memorial Stadium (AL),2653,Troy,fbs,Sun Belt,38,"[0, 7, 3, 28]",0.9966633319854736,1476.0,1476.0,2447,Nicholls,fcs,Southland,20,"[0, 10, 7, 3]",0.003336668014526367,,,6.052806292810168,,,2025-08-30 19:00:00-04:00,Saturday,7:00 PM,,
