id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr
401757220,2025,1,regular,2025-08-30 20:00:00+00:00,False,False,False,False,,3992,Williams Stadium (VA),2335,Liberty,fbs,Conference USA,,,,1502.0,,311,Maine,fcs,CAA,,,,,,,,,2025-08-30,Saturday,4:00 PM
401752804,2025,1,regular,2025-08-30 20:00:00+00:00,False,False,False,False,,3626,Autzen Stadium,2483,Oregon,fbs,Big Ten,,,,1860.0,,147,Montana State,fcs,Big Sky,,,,,,,,,2025-08-30,Saturday,4:00 PM
401752666,2025,1,regular,2025-08-30 20:15:00+00:00,False,False,False,False,,3887,Razorback Stadium,8,Arkansas,fbs,SEC,,,,1574.0,,2010,Alabama A&M,fcs,SWAC,,,,,,,,,2025-08-30,Saturday,4:15 PM
401762433,2025,1,regular,2025-08-30 20:30:00+00:00,False,False,False,False,,3805,Simmons Bank Liberty Stadium,235,Memphis,fbs,American Athletic,,,,1604.0,,236,Chattanooga,fcs,Southern,,,,,,,,,2025-08-30,Saturday,4:30 PM
401752799,2025,1,regular,2025-08-30 22:00:00+00:00,False,False,False,False,,3793,Kinnick Stadium,2294,Iowa,fbs,Big Ten,,,,1682.0,,399,UAlbany,fcs,CAA,,,,,,,,,2025-08-30,Saturday,6:00 PM
401761590,2025,1,regular,2025-08-30 22:00:00+00:00,False,False,False,False,,3651,Bridgeforth Stadium,256,James Madison,fbs,Sun Belt,,,,1627.0,,2692,Weber State,fcs,Big Sky,,,,,,,,,2025-08-30,Saturday,6:00 PM
401752675,2025,1,regular,2025-08-30 22:00:00+00:00,False,False,False,False,,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,SEC,,,,1650.0,,2287,Illinois State,fcs,MVFC,,,,,,,,,2025-08-30,Saturday,6:00 PM
401754616,2025,1,regular,2025-08-30 22:00:00+00:00,False,False,False,False,,3923,Scott Stadium,258,Virginia,fbs,ACC,,,,1404.0,,324,Coastal Carolina,fbs,Sun Belt,,,,1379.0,,,,,2025-08-30,Saturday,6:00 PM
401752668,2025,1,regular,2025-08-30 23:00:00+00:00,False,False,False,False,,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,,,,1678.0,,2341,Long Island University,fcs,NEC,,,,,,,,,2025-08-30,Saturday,7:00 PM
401761595,2025,1,regular,2025-08-30 23:00:00+00:00,False,False,False,False,,3975,Veterans Memorial Stadium (AL),2653,Troy,fbs,Sun Belt,,,,1476.0,,2447,Nicholls,fcs,Southland,,,,,,,,,2025-08-30,Saturday,7:00 PM
401761593,2025,1,regular,2025-08-30 23:00:00+00:00,False,False,False,False,,6526,Hancock Whitney Stadium,6,South Alabama,fbs,Sun Belt,,,,1555.0,,2415,Morgan State,fcs,MEAC,,,,,,,,,2025-08-30,Saturday,7:00 PM
401761591,2025,1,regular,2025-08-30 23:00:00+00:00,False,False,False,False,,3625,Centennial Bank Stadium,2032,Arkansas State,fbs,Sun Belt,,,,1344.0,,2546,Southeast Missouri State,fcs,Big South-OVC,,,,,,,,,2025-08-30,Saturday,7:00 PM
401757222,2025,1,regular,2025-08-30 23:00:00+00:00,False,False,False,False,,3725,"Johnny ""Red"" Floyd Stadium",2393,Middle Tennessee,fbs,Conference USA,,,,1228.0,,2046,Austin Peay,fcs,UAC,,,,,,,,,2025-08-30,Saturday,7:00 PM
401757226,2025,1,regular,2025-08-30 23:00:00+00:00,False,False,False,False,,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,,,,,,2453,North Alabama,fcs,UAC,,,,,,,,,2025-08-30,Saturday,7:00 PM
401756855,2025,1,regular,2025-08-30 23:00:00+00:00,False,False,False,False,,3636,Bill Snyder Family Stadium,2306,Kansas State,fbs,Big 12,,,,,,155,North Dakota,fcs,MVFC,,,,,,,,,2025-08-30,Saturday,7:00 PM
401752678,2025,1,regular,2025-08-30 23:00:00+00:00,False,False,False,False,,3795,Kyle Field,245,Texas A&M,fbs,SEC,,,,1674.0,,2636,UTSA,fbs,American Athletic,,,,1529.0,,,,,2025-08-30,Saturday,7:00 PM
401752679,2025,1,regular,2025-08-30 23:00:00+00:00,False,False,False,False,,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,,,,1497.0,,2127,Charleston Southern,fcs,Big South-OVC,,,,,,,,,2025-08-30,Saturday,7:00 PM
